Gene1,Gene2,Resource
1006,3428,literature;signaling;kinase
2064,3578,literature
2975,4217,complexes
1309,5383,complexes;literature
85,3031,signaling
1501,3733,complexes
135,2939,complexes
706,4519,binary;literature;signaling
5051,5110,signaling
283,3791,binary;literature
1919,4217,signaling
184,2204,literature
926,3289,literature
3395,4221,kinase
1780,2783,binary;literature
164,4098,complexes
2659,4634,kinase
252,1976,literature
5,5065,literature
3395,4543,literature;signaling
90,2704,complexes
4142,4793,kinase
154,5418,literature
912,1947,literature
86,3935,complexes
1086,1092,literature;signaling
85,85,literature
101,3681,literature
981,3434,kinase
1780,5081,binary;literature
981,5395,literature;signaling
1138,4831,literature;signaling
95,4077,literature
3201,3529,binary;literature
975,3066,metabolic
647,4395,kinase
2032,3809,literature
1237,1808,binary;literature;signaling
1325,3515,literature
4027,4465,literature
869,2801,literature
1758,2314,binary
686,5529,literature;signaling
2815,3705,literature;signaling
582,3444,binary;literature;kinase;signaling
598,1173,binary;literature
907,4610,binary;literature
3423,4453,literature
1820,2186,binary;literature;kinase
977,5207,literature
1362,5519,kinase
47,984,literature
1972,3441,kinase
3572,3734,literature;signaling
3800,4657,complexes
4188,5037,literature;signaling
2646,2665,complexes
3537,4433,literature
98,4310,literature;signaling
5439,5443,literature;signaling
1482,1571,literature
2572,2572,literature
2025,5026,literature
329,4082,complexes
2470,5346,literature
1066,1068,complexes;literature
3735,4885,literature;signaling
916,1019,binary;signaling
3707,4343,literature;signaling
2,3641,binary;literature
189,5254,complexes
1802,3802,literature;signaling
3921,4415,binary;literature
168,4844,binary
2644,2665,complexes
4965,5418,literature
1194,1396,complexes
1067,3611,complexes;literature
2290,5464,signaling
981,4211,literature
5167,5559,literature
355,2560,literature
189,3543,complexes
633,2120,literature;signaling
1974,3801,literature
1364,2423,signaling
3434,4309,literature;signaling;kinase
1022,1644,metabolic
1404,2828,literature
2340,2426,binary;literature;signaling
3715,5325,complexes
3689,5043,literature;signaling
4809,4822,literature;signaling
3365,5444,complexes
862,4323,complexes
4086,5464,signaling
1979,4394,binary
2047,4453,literature
692,4605,signaling
122,4250,binary;literature;signaling
1214,4142,literature;signaling
1349,2427,complexes
879,2469,literature;signaling
3553,5447,literature
231,2488,literature
2482,5499,binary;literature;signaling
894,1308,literature
3064,4192,binary;literature;signaling
198,3038,literature
647,1115,kinase
436,2269,literature
1514,5192,binary;literature;signaling
3701,5313,complexes;literature
3395,3689,literature;signaling;kinase
367,367,binary;literature
4699,5191,metabolic
777,4885,literature;signaling
237,2693,literature
862,4754,literature;signaling
3533,4403,literature
823,1006,binary;literature
4264,4270,complexes;literature;signaling
3130,5266,complexes;literature
772,2279,literature;signaling
86,373,complexes
2478,3632,literature
981,4449,literature
1020,1387,literature
4192,5059,binary;literature;signaling;kinase
4208,4741,literature
1916,5447,signaling
981,2425,complexes;literature;signaling
3395,5123,kinase
3919,4568,binary
1404,4780,kinase
3705,5158,literature
2801,3462,kinase
2025,3550,literature
233,5164,literature
4325,5224,binary;literature
1326,3515,literature
3956,4494,literature;signaling
3257,3681,literature
2549,4491,complexes
2235,2243,literature
2242,2425,binary;literature
2188,2425,binary;literature;signaling
3568,4725,literature
196,197,binary;literature
1885,4027,literature
1720,2078,metabolic
2921,5488,literature
1830,3811,complexes
2311,3689,literature;signaling
83,1891,binary;literature
2646,4793,literature
86,1141,complexes
550,5117,literature
933,1000,literature;signaling
298,3395,literature;signaling
3162,3746,literature
281,1888,binary
3698,5180,literature;signaling
1830,3787,complexes;literature
3118,4328,literature;signaling
3611,3910,literature
1840,3684,complexes
1920,5562,literature
2218,4367,literature;signaling
981,1345,literature
214,2954,metabolic
127,4447,literature
2485,3730,regulatory
1977,2032,literature
157,4250,regulatory
762,3962,literature;signaling
1318,4470,binary;literature
2070,2070,literature
5071,5157,binary
3195,5073,literature
1141,3979,binary
2726,2768,literature
470,2353,literature;signaling
2865,3276,literature
647,2420,literature;signaling
3903,4299,literature;signaling
1810,5262,literature
1387,3297,literature
3,3646,kinase
2096,3283,binary;literature;signaling
2002,4735,literature
3020,3180,binary
1053,2536,metabolic
1251,5290,complexes;literature
2019,4869,metabolic
60,3035,kinase
2145,3366,kinase
1686,4405,literature
647,1349,kinase
3803,4249,literature;signaling
439,4139,literature;signaling
2400,2423,literature
462,1528,literature;signaling
1326,2425,binary;literature;signaling
272,1810,literature;signaling
4863,5123,literature
1499,1780,literature
1703,4238,signaling
505,1896,literature;signaling
1264,3090,metabolic
1025,4717,metabolic
3403,4155,signaling
1086,5059,literature
2429,3623,binary;literature;signaling
757,2358,literature
743,744,literature;metabolic
899,2423,literature;signaling
3289,3303,literature
2009,4100,literature
3042,3046,kinase
4080,4238,literature;signaling;kinase
2181,3423,kinase
2163,5116,literature
4405,5149,literature
1061,1088,metabolic
1978,2867,literature
2362,2707,literature;signaling
535,535,literature
4517,5131,literature
2449,2449,literature
3091,4256,literature;signaling
2608,4120,regulatory
1138,5201,literature;signaling
720,3366,kinase
3979,4737,binary
1802,4538,literature;signaling
3793,3810,complexes;literature
948,4551,literature;signaling
1407,1780,binary;literature
808,3961,literature;signaling
776,2154,metabolic
206,4513,binary
1404,4158,literature;signaling
282,2024,literature
2828,5562,literature
946,946,literature
3038,3730,literature
1724,2794,metabolic
1216,3680,literature;signaling
470,3064,literature
3059,3178,literature
498,2199,complexes;literature
3684,3687,literature
2676,5494,signaling
2978,4754,binary;literature
866,1824,literature
1707,2580,literature
535,4126,literature;signaling
5362,5364,literature;signaling
856,2030,literature;signaling
2890,4171,literature;signaling
4149,4149,literature
1009,4915,literature
1291,3858,literature;signaling
2279,2502,binary;literature
3621,4165,literature;signaling
4394,4394,literature;kinase
675,2353,literature;signaling
2958,3674,complexes
2719,4404,literature
3395,3867,literature;signaling
1661,4382,literature
855,2526,literature
97,5344,complexes
2450,4932,literature
1023,3444,kinase
1747,4289,literature
921,3871,metabolic
1529,2304,binary
2600,3446,literature;signaling
888,1342,binary;literature;signaling
3725,4826,literature
1164,5238,binary;literature;signaling
1939,2642,literature;signaling
2440,3207,metabolic
3678,4453,literature
3825,4518,literature
85,512,signaling
3197,4780,literature;signaling
669,1938,literature;signaling
1947,5311,literature;signaling
1199,4217,complexes
1780,2311,literature
896,4885,literature;signaling
164,1410,complexes
2028,4994,literature
1120,1128,literature;signaling
3283,5407,literature
4697,5188,binary
194,3814,literature
3730,4298,literature
60,1500,kinase
3061,3064,literature;signaling
2518,2549,complexes;literature
1015,1320,complexes;literature
1671,4309,literature
1258,4405,literature
393,2470,literature
1546,1920,literature
1724,2004,metabolic
4093,4095,literature;signaling
3807,4401,complexes
757,3407,literature;signaling;kinase
2426,2679,literature
583,3692,literature;signaling
1707,4455,literature
2347,3808,complexes
4412,4757,binary;literature
847,3063,binary;literature
1194,5426,literature
2188,3657,literature;signaling
4449,5051,literature;signaling
3038,5418,literature
1501,4085,complexes
2009,3423,literature;signaling
841,1803,literature;signaling
2416,4142,literature
4341,5474,literature
2691,4564,literature
135,1326,complexes
868,1155,signaling
2620,2768,literature
95,4098,literature
2431,5242,literature;signaling
2426,3503,literature;signaling
2492,2910,binary
1364,3063,literature;signaling
2766,5089,literature;signaling
681,1127,literature
4282,5338,signaling
1622,2840,literature
901,4772,literature;signaling
3157,4248,complexes;literature
2706,5026,complexes;literature;signaling
152,445,binary
1505,4493,signaling
984,2414,literature
4153,4633,complexes;literature;signaling;binary
1965,2073,metabolic
1006,3689,literature;signaling;kinase
2220,4994,literature
1774,4095,literature;signaling
4205,4995,literature;signaling
4145,4872,complexes;literature;signaling;binary
700,700,literature
2027,5086,literature
272,417,complexes;literature
2692,5447,literature;signaling
2034,2190,literature;signaling
3365,3721,literature;signaling;kinase
1466,2507,metabolic
1978,3040,literature
3453,4161,literature;signaling
2307,5399,literature
16,2106,literature
4491,5557,literature
730,5349,literature
1622,3931,complexes
95,984,literature
2314,5186,binary
2426,4248,literature
70,2453,kinase
1013,2188,literature
3531,3782,binary;literature
2416,3435,literature;signaling
799,1296,literature
1325,4100,complexes;literature
2964,3839,binary
1840,4806,complexes
2997,4651,literature
5,4111,literature;signaling
3407,5379,kinase
2027,2032,literature
1516,4024,complexes;literature;signaling;binary
2027,4027,literature
2136,2220,literature;signaling
4775,5554,complexes
2865,3428,literature;signaling
1463,4414,binary
1022,2664,metabolic
1157,3035,literature;signaling
2482,2516,literature;signaling
3435,3634,literature;signaling
1387,1676,literature
2019,4107,metabolic
754,3565,metabolic
1947,2033,literature
2577,2693,literature;signaling
1919,4673,complexes
1505,4548,literature
2177,2487,literature
1125,1350,literature
60,2161,kinase
1900,1901,metabolic
4536,5476,literature
2002,2310,literature
3234,3234,binary;literature
480,3601,binary
5133,5314,literature
1404,4111,binary;literature;signaling
1304,4027,literature
1616,1616,literature
4105,4120,regulatory
4120,4347,regulatory
1194,2633,complexes
3361,3598,literature
1718,2688,regulatory
1976,3420,binary;literature;signaling
3158,3158,literature
1029,1211,literature
1003,1404,binary;literature
3146,4325,literature;signaling
3399,5273,kinase
12,1780,literature;signaling
1058,4161,literature;signaling
65,2453,kinase
3721,5519,complexes
923,4027,literature
152,1969,binary
166,3081,literature;signaling
611,4250,literature
1672,3639,literature
4077,4610,literature
1916,4134,signaling
2135,2135,literature
631,3962,literature;signaling
5240,5390,binary
2199,4993,complexes;literature;signaling
3291,5024,binary;literature
41,581,kinase
338,3447,literature
1478,3792,complexes
4378,4494,literature;signaling
2488,3806,literature
2356,5135,metabolic
1435,3399,literature;signaling
2176,3636,binary;literature
2416,4111,signaling
1410,3397,kinase
4307,4307,binary;literature
1011,1841,literature;signaling
252,1523,literature
2528,5033,literature;signaling
4374,4796,literature;signaling
1976,3793,literature
403,2044,literature;signaling
1780,1781,literature;signaling
1505,4130,literature
4310,4383,literature
2029,3395,kinase
2102,2103,binary;literature;signaling
1478,1981,complexes
1703,1780,literature
1346,2525,literature
2488,4298,literature
1347,4377,binary;literature
599,5059,literature;signaling
233,4202,literature
1239,1828,literature;signaling
721,1359,literature
647,4716,kinase
837,2976,literature
2079,2101,literature;signaling
2754,2776,metabolic
3,2489,kinase
769,4988,signaling
220,1490,binary
252,1830,literature
134,157,binary;literature
156,4176,literature
152,792,signaling
1381,2177,literature
3411,4261,kinase
1707,3745,literature;signaling
2423,3342,literature
20,2299,literature
840,1222,literature;signaling
896,2217,literature
4673,5097,literature
787,3793,literature
503,3487,literature;signaling
4027,4980,literature
236,4343,literature
4365,5149,binary
1552,3198,literature;signaling
842,2255,literature;signaling
3063,3439,literature;signaling
2708,2995,literature;signaling
2226,4915,literature
1199,5283,binary
2002,5226,literature
2181,5194,binary
158,5037,literature;signaling
724,3566,metabolic
1049,1115,literature;signaling
139,3681,literature;signaling
3856,4264,literature;signaling
157,2217,regulatory
2692,4725,literature
2958,5313,complexes
1711,2040,literature;signaling
462,4807,literature;signaling
15,4949,binary
3730,4046,binary;literature
2241,2243,literature
1345,3079,literature
2126,4165,regulatory;literature;signaling
2308,2692,literature;signaling
3460,3570,binary
3532,3532,literature
4136,4454,literature
7,3598,literature
206,5064,binary
2428,4120,complexes;literature;signaling
909,918,literature;signaling
94,4587,complexes
1975,2525,literature
1501,4517,literature;signaling
744,4255,regulatory
2646,2669,complexes
5254,5546,complexes
1833,4087,literature
2358,4122,regulatory
3605,5038,binary;literature;signaling
4303,4962,literature
3395,4314,literature;signaling;kinase
3612,4165,binary;literature;signaling
299,1006,literature;signaling;kinase
444,444,binary;literature
130,2431,literature;signaling
3838,4248,literature;signaling
795,799,complexes
2200,4735,complexes
841,2314,literature
517,2791,binary;literature
981,4077,complexes
1113,4673,literature;signaling
1808,3845,binary;literature;signaling
160,4322,complexes
1833,3407,kinase
977,4145,literature;signaling
577,2483,regulatory
189,2939,complexes
1756,5103,literature
1657,3388,binary;literature;signaling
1981,3801,literature
1432,4199,literature;signaling
1127,2639,literature;signaling
2112,2709,literature;signaling
4626,5033,signaling
2703,2703,binary;literature
4121,5052,literature
2903,3731,literature;signaling
1001,4142,literature;signaling
2518,2659,complexes;literature
1920,2600,literature
1239,4994,literature
2428,3767,binary;literature;signaling
69,4322,literature
3639,4455,literature
785,1780,literature;signaling
3754,3959,binary
647,1006,kinase
1920,4527,complexes
888,3413,binary;literature;signaling
1194,4495,complexes
1029,1561,literature
1478,4548,complexes
4205,4462,literature
5147,5340,literature
2571,2571,literature
5125,5125,literature
109,3687,binary
207,411,literature;signaling
841,3832,literature
4548,4994,literature
3434,4864,literature
2454,4377,binary;literature;signaling
484,1103,metabolic
3171,4300,literature;signaling
2,3631,binary;literature
60,3293,kinase
2027,2559,literature;signaling
2530,2530,literature
2120,4362,binary;literature
3,2029,kinase
130,5044,literature
4201,5079,literature;signaling
198,1622,literature
542,4776,literature
2014,4487,literature
799,5546,complexes
3121,3653,literature;signaling
759,4002,literature;signaling
1103,5358,metabolic
52,2002,literature
659,4453,literature
3694,4598,literature
2233,2694,literature
1395,3098,literature
1048,2534,literature;signaling
4167,5207,literature
455,3411,kinase
2195,4452,complexes
1818,3439,literature
635,2353,literature;signaling
1555,2483,literature;signaling
345,1002,binary;literature
1023,3435,literature;signaling;kinase
2384,3803,kinase
799,3038,literature
1029,1321,literature
3489,4145,literature;signaling
1417,5059,literature;signaling
933,2698,literature;signaling
1972,4325,literature;signaling
2628,4145,literature;signaling
4449,4517,literature;signaling
329,1895,literature;signaling
1133,1133,binary;literature
2037,3676,literature
3601,4844,binary
1240,5474,literature
4307,4994,literature;signaling
19,5452,binary;literature;signaling
252,2865,literature
506,2042,literature
942,1404,binary;literature
3139,4294,literature;signaling
3803,4192,literature
3081,3434,kinase
2965,4344,literature;signaling
1780,4714,literature;signaling
4161,4309,literature;signaling
2796,4384,literature
5100,5100,literature
1802,2674,literature;signaling
799,827,literature
841,1064,literature;signaling
864,3827,signaling
3566,4678,metabolic
85,2976,signaling
1833,2601,literature
907,2479,literature;signaling
2408,3705,literature
1251,2043,literature
1127,5562,literature
1002,4443,binary;literature
130,2271,literature
4403,5084,literature
4142,5445,literature
3197,3377,literature
2453,4095,literature;signaling
1336,2305,binary
85,3004,signaling
1017,4120,literature;signaling
1688,1920,literature
393,2617,literature
1128,4163,literature;signaling
3814,5201,literature;signaling
2188,3313,literature
1841,1841,literature
2222,3814,literature
903,4481,binary;literature;signaling
2970,5446,complexes;literature
2835,4105,metabolic
4725,4994,literature
1899,2336,metabolic
1013,1024,literature;signaling
1780,4515,literature
3784,3801,complexes;literature
2990,4122,regulatory
4085,5051,literature;signaling
1141,1141,binary;literature
120,4217,literature
1881,5374,binary
547,2567,kinase
1407,2016,regulatory
1977,3369,kinase
1524,5283,binary;literature;signaling
1947,2714,literature
2865,3806,literature
1326,1830,literature
102,4491,complexes
123,3256,binary;literature
3806,3807,complexes
1141,4374,literature
1314,3040,literature
3297,5505,literature
1780,2417,literature;signaling
924,3792,literature
808,2651,literature
583,759,literature;signaling
2510,5105,literature
2577,4994,literature
1991,4234,literature
736,4449,regulatory
2218,3087,literature;signaling
3365,3492,literature;signaling;kinase
2445,3174,metabolic
4826,5087,complexes;literature;signaling;binary
2588,4404,literature;signaling
3276,4269,literature
4531,4531,literature
2972,2972,literature
3266,3845,binary;literature;signaling
3809,4453,literature
82,2425,kinase
1529,3979,binary
1428,1481,metabolic
2845,4003,literature;signaling
993,3826,literature;signaling
2978,3278,complexes
330,381,literature;signaling
4070,5353,literature;signaling
2801,4412,literature
2466,3435,kinase
836,1947,literature
1830,4309,literature
633,2279,literature;signaling
5322,5495,literature;signaling
3365,4873,literature;signaling;kinase
1400,5474,complexes
1780,4405,literature
1006,3845,literature;signaling;kinase
4253,4784,literature
1001,4163,binary;literature
3194,4781,literature;signaling
2817,5218,binary;literature
90,4406,literature
724,2550,metabolic
109,5499,literature
1762,4137,literature;signaling
160,2161,complexes;literature
583,3755,literature
1834,3746,literature;signaling
2398,4353,literature;signaling
3721,5051,literature;signaling
2821,5339,literature
198,4401,complexes
2428,4771,literature;signaling
923,4956,complexes
2704,5483,literature
172,1661,binary;literature
4005,4005,literature
2037,4256,regulatory
235,235,binary
1064,2200,literature;signaling
1711,4969,literature;signaling
1194,3304,literature
1523,1920,literature
1298,2530,literature;signaling
1014,3646,kinase
856,4086,signaling
1785,4756,kinase
1844,4110,literature
2020,3289,literature;signaling
3153,4895,literature
2610,3407,kinase
933,2101,literature
2108,4243,metabolic
3975,5025,literature
2222,3873,regulatory
602,602,literature
1570,3435,literature;signaling;kinase
82,3446,kinase
3804,3805,complexes;literature
4673,4771,literature;signaling
540,783,literature;signaling
86,4495,complexes
713,830,literature
2222,4004,literature;signaling
4942,5144,literature
1782,3435,kinase
1135,1916,binary
3036,3399,kinase
282,4493,literature
69,4526,kinase
1023,4750,literature;signaling;kinase
3351,3598,literature
1920,3983,literature
2058,2435,binary;literature
2843,2843,literature
88,4362,literature
3411,5255,literature
496,1344,literature
1975,2347,literature
4754,5540,binary;literature
4100,5503,complexes
2951,3033,metabolic
2009,4142,binary;literature;signaling
3802,5297,literature;signaling
3578,4344,literature
972,3029,metabolic
1490,1560,complexes;literature
1756,5529,literature;signaling
158,1979,literature;signaling
444,507,literature;signaling
864,4517,signaling
281,1358,binary;literature
2195,4134,complexes;literature;signaling
4137,4696,binary;literature
295,1244,literature
2518,4097,literature
2389,5172,regulatory
1249,4258,literature
282,3298,literature
3635,5056,literature;signaling
2654,2665,complexes
4750,5123,signaling
1194,1389,complexes
4094,4217,literature;signaling
47,4921,literature
4275,4756,kinase
3369,5060,kinase
3298,3319,literature
852,3971,metabolic
1082,3572,signaling
2060,4242,literature
272,782,literature
3007,4735,binary;literature;signaling
681,1920,literature
2645,2667,complexes
292,3570,complexes
4177,4177,literature
2347,3811,complexes;literature
4032,5280,literature
665,1800,binary;literature;signaling
1499,3958,signaling
2098,4290,binary;signaling
843,4380,binary;literature
598,5003,binary;literature
1505,5289,literature
160,1296,literature
1634,3711,metabolic
2002,4810,complexes;literature;signaling
240,5562,literature
2674,3434,kinase
3105,3365,literature;kinase
873,873,literature
2101,2219,literature;signaling
846,3395,literature;signaling
2154,4105,metabolic
82,4921,literature;signaling
981,2182,literature;signaling
255,5372,literature
614,984,literature;signaling
2464,4656,literature;signaling
343,3626,binary;literature
17,3319,literature
1785,3503,literature;signaling
2370,2865,complexes;literature;signaling
3550,4325,literature;signaling
3804,3812,complexes
2386,4223,binary
1325,2161,literature
1029,4880,literature
5235,5405,metabolic
2359,4417,literature;signaling
2874,4405,literature
4365,5343,binary
924,4238,signaling
2301,2427,literature;signaling
2594,4354,literature;signaling
2307,3395,literature;signaling
1529,5546,complexes
1891,4404,binary;literature;signaling
1830,2692,literature
5328,5362,literature;signaling
2098,3642,binary;signaling
933,5444,literature
3071,3106,regulatory
1895,4077,literature;signaling
2161,4086,literature;signaling
2848,2848,literature
1260,2002,literature
2739,3630,binary;literature
598,4809,binary;literature
1381,4077,literature
933,3381,literature;signaling
1047,4637,literature;signaling
2542,2542,binary;literature
152,5507,binary
1179,2426,literature;signaling
2223,4810,literature;signaling
2202,5091,complexes
2505,5043,literature;signaling
231,4994,literature;signaling
681,2828,literature
1037,3470,literature;signaling
183,3824,literature;signaling
1320,2188,literature
2029,4242,literature;signaling
47,4325,literature
3791,4921,literature
3919,5064,binary
2369,3621,literature;signaling
2624,2803,literature;signaling;kinase
1785,4864,literature;signaling
1006,3510,literature
4917,5254,literature
993,1780,literature;signaling
3153,4142,complexes
1006,4706,binary;literature
3677,3677,literature
1901,4653,literature
2127,4414,literature;signaling
1773,2729,literature;signaling
286,4405,literature
1015,3365,literature;signaling;kinase
1129,4528,literature;signaling
5445,5482,literature;signaling
2600,3580,literature
1405,1731,literature
3550,4988,metabolic
3786,3792,complexes;literature
3547,5096,literature
4598,5150,signaling
5174,5245,complexes
3699,3825,binary;literature;signaling
2217,2217,literature
1519,3620,literature
1227,4453,literature
848,5415,literature;signaling
3828,4750,kinase
1345,4201,literature;signaling
1038,1713,literature;signaling
669,5520,complexes;literature;signaling
681,4323,binary;literature
1780,4298,literature
3504,3533,complexes;literature
756,5519,kinase
1444,3059,literature;signaling
3572,3572,literature;kinase
1182,1326,complexes
4082,5174,complexes
1773,4137,literature
1006,3395,kinase
2427,2526,regulatory
1369,3536,literature
4454,5353,complexes;literature;signaling
1064,3063,literature;signaling
1410,4527,literature
686,1780,literature
941,3962,literature;signaling
498,1121,literature;signaling
2427,3750,literature;signaling
1003,3962,binary;literature
795,1820,binary;literature
4104,4120,regulatory
2918,5373,binary
1947,5335,literature
102,2161,literature
1830,2679,literature
3792,3813,complexes
836,2979,literature
1804,4789,literature;signaling
3681,4465,literature;signaling
2666,3038,literature
895,3332,literature;signaling
870,3492,literature;signaling
1118,5009,complexes;literature
272,3489,binary;literature;signaling
1979,5503,complexes
3650,3650,literature
973,3075,metabolic
862,2426,binary;literature;signaling
933,3506,binary;literature
950,4243,literature
1529,3718,binary
2987,3984,metabolic
2503,3395,literature;signaling
794,1325,literature
4222,4678,metabolic
3746,4142,literature
1886,1900,metabolic
1623,1780,binary;literature
1009,4911,binary;literature
4810,5032,literature;signaling
4167,5399,literature
2561,4485,literature
2691,5123,literature
4864,4864,binary;literature
1109,1454,metabolic
950,2111,literature
2489,4842,literature
2428,2795,regulatory
154,1127,kinase
3247,5442,binary
1573,1900,metabolic
484,1061,metabolic
431,2042,binary
2802,3319,literature
642,2425,literature;signaling
3140,3140,literature
1199,3112,complexes
647,1504,binary;literature
3472,4838,literature
583,1895,complexes;literature;signaling
1485,4725,literature
151,2908,binary;literature
1081,2201,binary;literature;signaling
1881,1881,binary;literature
1678,4678,metabolic
1248,2027,complexes;literature
3030,5125,literature
72,3839,binary
329,5474,complexes
2652,2658,complexes
480,4085,binary
1661,4754,binary;literature;signaling
2453,3375,signaling
2222,5052,literature
2675,4448,kinase
5119,5405,metabolic
2042,2042,literature
3640,4585,literature
1738,4217,literature
2089,2218,literature;signaling
960,5117,literature;signaling
2423,3434,literature;signaling;kinase
993,5142,literature;signaling
1891,2899,signaling
2796,4455,kinase
3637,5024,binary;literature;signaling
579,3950,literature
933,5236,literature
583,3407,kinase
547,947,kinase
217,315,complexes;literature
236,2596,literature
3073,3657,literature;signaling
2276,3395,kinase
499,4463,literature;signaling
2426,3067,literature
1487,5415,literature
154,3791,literature
1015,1135,literature;signaling
2165,5096,signaling
4833,5151,literature
1050,1131,literature
2687,4120,regulatory
68,1756,literature;signaling
4603,5243,literature
1015,2796,literature;signaling;kinase
2311,4756,kinase
2470,4292,literature
3431,4358,kinase
70,2385,kinase
3671,5022,binary;literature;signaling
2188,3619,literature;signaling
719,2657,metabolic
2624,2624,literature
184,5093,literature
4269,4315,literature;signaling
1976,5418,binary;literature;signaling
1778,2835,metabolic
68,2353,literature
2201,2201,literature
3395,4050,literature
1264,5142,metabolic
1043,1043,literature
65,2796,kinase
2646,2652,complexes
847,3801,literature
2670,5065,literature;signaling
47,2470,literature
240,3289,binary;literature
862,5415,literature
3786,3805,complexes
2676,5464,signaling
1976,2600,literature
3399,4455,kinase
1881,3492,binary;literature;signaling
827,3810,literature
2025,2120,literature
2109,2222,regulatory
1468,5415,literature
5032,5052,literature;signaling
733,1972,regulatory
842,2808,literature
3178,3910,kinase
1981,4890,complexes
4122,4414,literature;signaling
1748,2344,literature
3318,4343,binary
2494,3407,kinase
915,5476,literature;signaling
724,729,metabolic
3755,3755,binary;literature
1895,3191,literature
1725,2197,literature;signaling
3786,3810,complexes;literature
1616,3636,binary;literature
687,687,binary
1182,1389,complexes
1313,5418,literature
3434,5051,literature;signaling;kinase
837,3971,metabolic
2719,4741,complexes
1109,3034,metabolic
2188,3705,literature;signaling
1381,2489,literature
1615,4068,literature;signaling
3788,5505,literature
3148,5158,complexes
2969,2969,literature;kinase
2765,4310,literature
1725,2284,literature;signaling
1192,5442,complexes
3787,5426,literature
1006,2495,literature;signaling;kinase
4454,5097,literature
233,3973,literature
1688,4388,regulatory
3884,4582,metabolic
1681,4100,complexes
936,1966,metabolic
723,3169,literature
2774,5538,binary;literature
2461,4249,regulatory
4052,4205,literature
1919,2213,signaling
725,5297,literature;signaling
3434,4341,literature;signaling
1197,4809,literature
480,3788,binary
2063,4869,metabolic
1681,4674,binary;literature;signaling
2360,3067,binary;literature;signaling
4105,5558,literature;signaling
4356,4356,literature
3441,3725,literature;signaling;kinase
1026,5489,literature;signaling
1030,1323,complexes
1023,3173,binary;literature;signaling
137,827,literature
1030,4149,complexes
4344,5104,literature;signaling
5059,5329,literature;signaling
3278,3804,complexes
915,5300,literature;signaling
3183,4343,binary
462,4447,complexes
2063,4945,metabolic
3084,3084,literature
4628,5133,literature
2136,2416,literature;signaling
3705,4252,literature;signaling
2494,3623,binary;literature
3435,3447,literature;signaling;kinase
1112,2449,metabolic
847,4965,literature
856,4290,signaling
1644,2660,metabolic
2891,3839,binary;literature
1797,1797,literature
1522,4098,binary;literature
3434,3962,literature;signaling
693,4262,literature;signaling
1916,4165,kinase
683,939,literature;signaling
1622,2792,literature
686,3492,literature;signaling
583,1939,binary;literature;signaling
1920,5489,literature;signaling
2908,4145,literature
154,160,literature
1180,5441,metabolic
4742,5017,complexes
5,5,literature
65,2222,kinase
2209,4269,literature;signaling
4120,4492,literature;signaling
2474,2865,literature
1711,3063,literature
2308,4337,literature;signaling
4,82,binary;literature
2802,3789,literature
82,2385,kinase
2012,4308,literature
867,5083,literature
2939,3979,binary
1622,4167,literature;signaling
3694,3723,literature;signaling
233,1983,literature
152,5454,binary
3980,4455,literature;signaling
252,2600,complexes;literature
1555,2131,regulatory
1226,5166,complexes
1174,4325,binary;literature;signaling
3623,5218,literature;signaling
1599,5224,binary
2739,3096,literature
4290,4380,binary;literature;signaling
5562,5562,literature
1264,4355,literature;signaling
252,1780,literature
4,160,literature
1636,1841,literature;signaling
583,981,complexes;literature;signaling
782,5133,literature
718,2641,literature;signaling
1400,2025,complexes
60,1178,kinase
1296,3794,literature
2029,4911,literature
50,50,binary
2627,3075,literature
1916,2747,kinase
3411,3631,kinase
90,5207,literature
3435,4095,literature
1345,3243,literature
2899,3735,signaling
799,4323,complexes;literature;signaling
1015,4249,regulatory
1780,2813,binary;literature
2173,2220,literature
272,3024,binary;literature;signaling
4,1810,literature
4694,4841,literature
2127,2209,literature
2218,5056,literature;signaling
2219,4161,literature;signaling;kinase
242,1238,binary;literature
2429,3675,binary;literature
2188,4142,literature;kinase
3929,5344,complexes
936,5237,binary
85,4365,literature;signaling
2426,2796,literature;signaling
3808,4401,complexes
484,5135,metabolic
3636,3636,literature
2238,3365,kinase
1005,1008,complexes;literature;signaling
4077,5351,literature
393,4792,literature
3789,4965,literature
4415,5056,literature;signaling
781,5130,literature
2478,5053,complexes;literature;signaling
599,1002,binary;literature
2282,2569,literature
179,3735,binary;literature;signaling
2466,3441,kinase
1325,5442,complexes
332,908,kinase
3097,5559,literature;signaling
181,864,signaling
2865,4760,literature;signaling
295,1915,complexes;literature
3428,3949,complexes;literature;signaling;kinase
3450,4139,literature
4785,4807,literature
60,4472,kinase
47,393,literature
3063,4053,literature
253,2842,signaling
3063,3063,literature
2887,2887,literature
1833,5155,literature;signaling;kinase
3435,4690,kinase
169,3441,kinase
1796,2154,metabolic
2795,3513,regulatory
127,1832,literature
4363,4413,literature
2703,3313,binary;literature
1975,2353,literature
4401,5506,complexes
65,4269,literature;signaling
3634,3642,literature;signaling
161,2409,literature
189,1522,literature
85,4813,binary;literature;signaling
850,4049,literature
1920,4153,complexes
60,70,literature
5149,5374,binary
680,3346,literature
599,2101,literature;signaling
2843,3086,literature;signaling
5282,5282,literature
166,2384,binary;literature;signaling
2048,4256,regulatory
1634,2108,metabolic
1899,5147,literature
4334,4338,binary
2633,3929,literature
3110,4453,literature
757,4270,literature;signaling
2423,3178,literature
